"","destination","passanger","weather","temperature","time","map","coupon","expiration","gender","age","maritalStatus","Childrennumber","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","click","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y"
"37","Home","Alone","Sunny","55","6PM","BAC2","Restaurant(20-50)","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","1","0","0","1","0"
"38","Home","Alone","Sunny","80","6PM","BAC1","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","0","0","0","1","0"
"39","Work","Alone","Sunny","55","7AM","CBA1","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","1","1","0","1","0"
"40","Work","Alone","Sunny","55","7AM","CBA2","Bar","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y1","1","1","1","0","1","1"
"41","Work","Alone","Sunny","80","7AM","BAC2","Restaurant(20-50)","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","1","0","0","1","0"
"42","Work","Alone","Sunny","80","7AM","BCA1","Carry out & Take away","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y1","1","0","0","1","0","1"
"43","Work","Alone","Sunny","55","7AM","BAC1","Restaurant(<20)","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y2","1","0","0","0","1","1"
"44","Work","Alone","Sunny","55","7AM","BAC2","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","1","0","0","1","0"
"45","No Urgent Place","Alone","Sunny","55","2PM","NAC1","Restaurant(<20)","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","0","0","0","1","1"
"46","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Coffee House","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","0","0","0","1","1"
"47","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Bar","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","0","0","0","1","0"
"48","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC2","Carry out & Take away","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","1","0","0","1","1"
"49","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC1","Coffee House","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","0","0","0","1","1"
"50","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y2","1","1","0","0","1","1"
"51","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","1","0","0","1","0"
"52","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Restaurant(<20)","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y2","1","1","0","0","1","1"
"53","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC1","Coffee House","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","0","0","0","1","0"
"54","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC2","Restaurant(<20)","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","1","0","0","1","1"
"55","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC1","Coffee House","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","0","0","0","1","1"
"56","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC2","Carry out & Take away","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","1","0","0","1","1"
"57","No Urgent Place","Alone","Sunny","55","10AM","NAC1","Coffee House","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","0","0","0","1","1"
"58","Home","Alone","Sunny","55","6PM","BCA1","Bar","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","0","0","1","0","0"
"59","Home","Alone","Sunny","55","6PM","BAC2","Restaurant(20-50)","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","1","0","0","1","0"
"60","Home","Alone","Sunny","80","6PM","BAC1","Coffee House","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","0","0","0","1","0"
"61","Work","Alone","Sunny","55","7AM","CBA1","Coffee House","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","1","1","0","1","0"
"62","Work","Alone","Sunny","55","7AM","CBA2","Bar","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","1","1","0","1","0"
"63","Work","Alone","Sunny","80","7AM","BAC2","Restaurant(20-50)","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","1","0","0","1","0"
"64","Work","Alone","Sunny","80","7AM","BCA1","Carry out & Take away","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","Y1","1","0","0","1","0","1"
"65","Work","Alone","Sunny","55","7AM","BAC1","Restaurant(<20)","1d","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","0","0","0","1","0"
"66","Work","Alone","Sunny","55","7AM","BAC2","Coffee House","2h","Male","46","Single","0","Some college, no degree","Student","$12,500 - $24,999","1","never","4~8","1~3","1~3","never","N","1","1","0","0","1","0"
"67","No Urgent Place","Alone","Sunny","55","2PM","NAC1","Restaurant(<20)","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y1","1","0","0","0","1","1"
"68","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y1","1","0","0","0","1","1"
"69","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC2","Carry out & Take away","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","1","0","0","1","1"
"70","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","1","0","0","1","1"
"71","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y1","1","1","0","0","1","1"
"72","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC2","Restaurant(<20)","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","1","0","0","1","1"
"73","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC2","Carry out & Take away","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y1","1","1","0","0","1","1"
"74","No Urgent Place","Kid(s)","Sunny","80","10AM","NAC2","Restaurant(<20)","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y1","1","1","0","0","1","1"
"75","No Urgent Place","Kid(s)","Sunny","80","10AM","NAC2","Carry out & Take away","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y1","1","1","0","0","1","1"
"76","No Urgent Place","Kid(s)","Sunny","80","10AM","NAC2","Bar","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","1","0","0","1","1"
"77","No Urgent Place","Kid(s)","Sunny","80","2PM","NAC1","Restaurant(<20)","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y1","1","0","0","0","1","1"
"78","No Urgent Place","Kid(s)","Sunny","55","2PM","NAC2","Restaurant(<20)","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","1","0","0","1","1"
"79","No Urgent Place","Kid(s)","Sunny","55","6PM","NAC2","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","N","1","1","0","0","1","0"
"80","Home","Alone","Sunny","55","6PM","BCA1","Bar","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","0","0","1","0","1"
"81","Home","Alone","Sunny","55","6PM","BAC2","Restaurant(20-50)","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","N","1","1","0","0","1","0"
"82","Home","Alone","Sunny","80","6PM","BAC1","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","0","0","0","1","1"
"83","Work","Alone","Sunny","55","7AM","CBA1","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","N","1","1","1","0","1","0"
"84","Work","Alone","Sunny","55","7AM","CBA2","Bar","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","1","1","0","1","1"
"85","Work","Alone","Sunny","80","7AM","BAC2","Restaurant(20-50)","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","1","0","0","1","1"
"86","Work","Alone","Sunny","80","7AM","BCA1","Carry out & Take away","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","N","1","0","0","1","0","0"
"87","Work","Alone","Sunny","55","7AM","BAC1","Restaurant(<20)","1d","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","Y2","1","0","0","0","1","1"
"88","Work","Alone","Sunny","55","7AM","BAC2","Coffee House","2h","Male","46","Married partner","1","Bachelors degree","Education, Training, & Library","$75,000 - $87,499","1","less1","1~3","1~3","1~3","less1","N","1","1","0","0","1","0"
"89","No Urgent Place","Alone","Sunny","55","2PM","NAC1","Restaurant(<20)","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","N","1","0","0","0","1","0"
"90","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y1","1","0","0","0","1","1"
"91","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Bar","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y1","1","0","0","0","1","1"
"92","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC2","Carry out & Take away","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","1","0","0","1","1"
"93","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC1","Coffee House","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y1","1","0","0","0","1","1"
"94","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y1","1","1","0","0","1","1"
"95","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","1","0","0","1","1"
"96","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Restaurant(<20)","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y1","1","1","0","0","1","1"
"97","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC1","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","0","0","0","1","1"
"98","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC2","Restaurant(<20)","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y1","1","1","0","0","1","1"
"99","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC1","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y1","1","0","0","0","1","1"
"100","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC2","Carry out & Take away","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","1","0","0","1","1"
"101","No Urgent Place","Alone","Sunny","55","10AM","NAC1","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","0","0","0","1","1"
"102","Home","Alone","Sunny","55","6PM","BCA1","Bar","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","0","0","1","0","1"
"103","Home","Alone","Sunny","55","6PM","BAC2","Restaurant(20-50)","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y1","1","1","0","0","1","1"
"104","Home","Alone","Sunny","80","6PM","BAC1","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","0","0","0","1","1"
"105","Work","Alone","Sunny","55","7AM","CBA1","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","1","1","0","1","1"
"106","Work","Alone","Sunny","55","7AM","CBA2","Bar","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","N","1","1","1","0","1","0"
"107","Work","Alone","Sunny","80","7AM","BAC2","Restaurant(20-50)","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","1","0","0","1","1"
"108","Work","Alone","Sunny","80","7AM","BCA1","Carry out & Take away","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","0","0","1","0","1"
"109","Work","Alone","Sunny","55","7AM","BAC1","Restaurant(<20)","1d","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","0","0","0","1","1"
"110","Work","Alone","Sunny","55","7AM","BAC2","Coffee House","2h","Male","21","Single","0","Associates degree","Student","$12,500 - $24,999","1","1~3","less1","1~3","less1","1~3","Y2","1","1","0","0","1","1"
"111","No Urgent Place","Alone","Sunny","55","2PM","NAC1","Restaurant(<20)","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","Y2","1","0","0","0","1","1"
"112","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","Y1","1","0","0","0","1","1"
"113","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Bar","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","Y2","1","0","0","0","1","1"
"114","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC2","Carry out & Take away","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","N","1","1","0","0","1","0"
"115","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC1","Coffee House","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","Y2","1","0","0","0","1","1"
"116","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","N","1","1","0","0","1","0"
"117","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","Y2","1","1","0","0","1","1"
"118","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Restaurant(<20)","1d","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","Y2","1","1","0","0","1","1"
"119","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC1","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","N","1","0","0","0","1","0"
"120","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC2","Restaurant(<20)","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","N","1","1","0","0","1","0"
"121","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC1","Coffee House","2h","Male","26","Unmarried partner","0","Bachelors degree","Student","$50,000 - $62,499","1","1~3","gt8","4~8","1~3","less1","N","1","0","0","0","1","0"
